id;name;Aadress;X;y
13376;Aakre Lasteaed-Algkool;Valga maakond, Puka vald, Aakre küla, Mõisa tee 10;629862;6441779
12310;Abja Gümnaasium;Viljandi maakond, Abja vald, Abja-Paluoja linn, Abja tee 15;580349;6443614
12309;Abja Lasteaed;Viljandi maakond, Abja vald, Abja-Paluoja linn, Aia tn 24;579482.9634;6443735.99
13424;Adavere Põhikool;Jõgeva maakond, Põltsamaa vald, Adavere alevik,  Kooli tn 1;610098;6509177
11889;Aegna loodusmaja;Harju maakond, Tallinna linn, Kesklinna linnaosa, Külaniidu tee 12;543429;6605228
12765;Aegviidu Kool;Harju maakond, Aegviidu vald, Aegviidu alev, Pärna tn 1;591726;6573268
12766;Aegviidu Lasteaed;Harju maakond, Aegviidu vald, Aegviidu alev, Kase tn 10;592196.9804;6573116.918
12143;Ahtme Kool;Ida-Viru maakond, Kohtla-Järve linn, Ahtme linnaosa, Õpetajate tn 3;695181;6581339
12221;Ahula Lasteaed-Algkool;Järva maakond, Albu vald, Ahula küla, Ahula lasteaed-algkool;598841;6553541
13404;Aidu Lasteaed-Algkool;Jõgeva maakond, Pajusi vald, Vägari küla, Kooli tee 7;628192;6512330
13365;Ala Põhikool;Valga maakond, Helme vald, Ala küla, Kooli;600188;6431376
13182;Alasniidu Lasteaed;Harju maakond, Harku vald, Puisniidu 7;533076;6586687
13290;Alatskivi Lasteaed;Tartu maakond, Alatskivi vald, Alatskivi alevik, Kooli tn 2;682186.9651;6499629.999
12770;Alavere Lasteaed Mõmmila;Harju maakond, Anija vald, Alavere küla, Kose mnt 16/5;575437.0527;6568095.031
12769;Alavere Põhikool;Harju maakond, Anija vald, Alavere küla, Alavere põhikool;575701;6568314
12225;Albu Laste Mängutuba;Järva maakond, Albu vald, Albu küla, Albu mõis;594925.1483;6558253.666
12234;Albu Põhikool;Järva maakond, Albu vald, Albu küla, Albu mõis;594917;6558382
12575;Alu Lasteaed-Algkool;Rapla maakond, Rapla vald, Alu alevik, Keskuse tee 4;543875;6543147
12224;Ambla Lasteaed-Põhikool;Järva maakond, Ambla vald, Ambla alevik, Pikk tn 37;605475;6562960
13396;Anna Haava nim Pala Kool;Jõgeva maakond, Pala vald, Pala küla, Koolimaja;675030;6507478
13452;Antsla Gümnaasium;Võru maakond, Antsla vald, Antsla linn, Kooli tee 14;650369;6412862
12226;Aravete Keskkool;Järva maakond, Ambla vald, Aravete alevik, Piibe mnt 21;600473;6557361
12222;Aravete Lasteaed Mesimumm;Järva maakond, Ambla vald, Aravete alevik, Lasteaia tn 4;600412.9298;6557517.008
12821;Ardu Kool;Harju maakond, Kõue vald, Ardu küla, Lasteaia tee 4;577854;6552275
12421;Are Põhikool;Pärnu maakond, Are vald, Are alevik, Kooli tn 1;532595;6487655
12725;Art Studio Buta;Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Kaera tn 21;539952.0028;6589859.965
12791;Aruküla Lasteaed Rukkilill;Harju maakond, Raasiku vald, Aruküla alevik, Staadioni tn 6;561349.0215;6581208.078
12793;Aruküla Põhikool;Harju maakond, Raasiku vald, Aruküla alevik, Põllu tn 5;561231;6581250
12795;Aruküla Vaba Waldorfkool;Harju maakond, Raasiku vald, Aruküla alevik, Tallinna mnt 38;561502;6580523
12794;Aruküla Waldorf-lasteaed;Harju maakond, Raasiku vald, Aruküla alevik, Tallinna mnt 38;561502.9402;6580523.057
12398;Aruvälja Lasteaed-Algkool;Pärnu maakond, Audru vald, Ahaste küla, Aruvälja kool;510465;6481843
13183;Aserbaidþaani Lasteaed Fidan;Harju maakond, Tallinna linn, Lasnamäe linnaosa, Vilisuu tn 7;548023.9637;6589245.945
12128;Aseri Kool;Ida-Viru maakond, Aseri vald, Aseri alevik, Kooli tn 2;662162;6593576
12129;Aseri Lasteaed;Ida-Viru maakond, Aseri vald, Aseri alevik, Kooli tn 2;662162.9675;6593576.026
12463;Aste Lasteaed Mõmmik;Saare maakond, Kaarma vald, Aste alevik, Saare tn 5a;408930.9293;6468123.996
12462;Aste Põhikool;Saare maakond, Kaarma vald, Aste alevik, Võhma mnt 3;408872;6468503
13197;Audentese Erakool;Harju maakond, Tallinna linn, Kristiine linnaosa, Tondi tn 84;540453;6585336
13198;Audentese Spordigümnaasium;Harju maakond, Tallinna linn, Kristiine linnaosa, Tondi tn 84;540558;6585394
13366;Audentese Spordigümnaasiumi Otepää filiaal;Valga maakond, Otepää vald, Otepää linn, Lipuväljak 14;647355;6438023
12037;Audru Huvialakeskus;Pärnu maakond, Audru vald, Audru alevik, Lihula mnt 10;518335.0293;6475854.026
12407;Audru Kool;Pärnu maakond, Audru vald, Audru alevik, Lihula mnt 10;518335;6475854
12406;Audru Lasteaed;Pärnu maakond, Audru vald, Audru alevik, Nooruse tee 2;520678.0693;6474966.925
12292;August Kitzbergi nimeline Gümnaasium;Viljandi maakond, Karksi vald, Karksi-Nuia linn, Kooli tn 1;591852;6441172
12171;Avinurme Gümnaasium;Ida-Viru maakond, Avinurme vald, Avinurme alevik, Võidu tn 16;664924;6542064
12170;Avinurme Lasteaed Naerulind;Ida-Viru maakond, Avinurme vald, Avinurme alevik, Põllu tn 1;664958.992;6541901.044
13394;C.R.Jakobsoni nim.Torma Põhikool;Jõgeva maakond, Torma vald, Torma alevik, Kooli tee 23;656767;6523150
13107;EBS Gümnaasium;Harju maakond, Tallinna linn, Kesklinna linnaosa, Ants Lauteri tn 3;542941;6588497
11928;Edu Valem Erakool;Harju maakond, Tallinn, Tartu mnt 23;543290;6588654
13033;Eesti Kosmeetikute ja Juuksurite Erakool Diariss;Harju maakond, Tallinna linn, Kesklinna linnaosa, Tondi tn 8a;541908.922;6586596.06
13112;Eesti Rahvusvaheline Kool;Harju maakond, Tallinna linn, Kesklinna linnaosa, Juhkentali tn 18;543294;6587959
12772;Eesti-Ameerika Äriakadeemia;Harju maakond, Tallinna linn, Lasnamäe linnaosa, Punane tn 29;546660.0453;6588796.933
12737;Ehte Humanitaargümnaasium;Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Kari tn 13;539332;6590005
12747;Ehte Humanitaargümnaasiumi Ehte maja;Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Ehte tn 9;539651;6589477
45066;Ehte Humanitaargümnaasiumi Ranniku hoone;Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Kari tn 13;539332;6590007
12588;Eidapere Kool;Rapla maakond, Kehtna vald, Eidapere alevik, Tallinna mnt 23c;554516;6512914
12572;Eidapere Lasteaed Kukupai;Rapla maakond, Kehtna vald, Eidapere alevik, Tallinna mnt 23b;554501.9557;6512983.027
13202;Elva Gümnaasium;Tartu maakond, Elva linn, Tartu mnt 3;641493;6456152
13298;Elva Huviala-ja Kultuurikeskus Sinilind;Tartu maakond, Elva linn, Kesk tn 30;641973.9625;6456196.951
13299;Elva Lasteaed Murumuna;Tartu maakond, Elva linn, Kesk tn 29;641982.0722;6456052.962
13223;Elva Lasteaed Õnneseen;Tartu maakond, Elva linn, Kaja tn 4;641536.0389;6457021.988
12615;Ema ja Lapse Keskus Väike Päike;Harju maakond, Tallinn, Tuukri 11;543815;6589409
12499;Emmaste Lasteaed Naksitrallid;Hiiu maakond, Emmaste vald, Emmaste küla, Naksitralli;418856.7005;6508124.326
12498;Emmaste Põhikool;Hiiu maakond, Emmaste vald, Emmaste küla, Kooli;417327;6507259
12934;Erahuvialakool Kolobok;Harju maakond, Tallinna linn, Kesklinna linnaosa, Tõnismägi 3a;542042.9803;6588342.955
12857;Erakool Garant;Harju maakond, Tallinna linn, Lasnamäe linnaosa, Punane tn 31;546760;6588763
12161;Erakool Intellekt;Ida-Viru maakond, Kohtla-Järve linn, Järve linnaosa, Outokumpu tn 11;687194;6588898
12635;Erakool Läte;Harju maakond, Keila linn,Keskväljak 15;524094;6574540
12860;Eralasteaed Adelion;Harju maakond, Tallinna linn, Pirita linnaosa, Lepiku tee 34b;550080.0199;6593938.976
11934;Eralasteaed Kaur;Lääne-Viru maakond, Rakvere linn, Posti tn 18a;634424.9942;6581494.069
12800;Kelvingi Lasteaed;Harju maakond, Viimsi vald, Kelvingi küla, Meresihi tee 4;547512.0599;6601303.077
12447;Eralasteaed Kõige Suurem Sõber;Saare maakond, Kuressaare linn, Uus-Roomassaare tn 14a;411082.9778;6456964.062
